state,year,grant,internet,device,loans,policy
Alabama,2017,448391,0.4926686217,0.5806451613,103,0
Alabama,2019,475086,0.5814696486,0.6645367412,40,0
Alabama,2021,499097,0.6083333333,0.6458333333,10,0
Alabama,2023,529162,0.6388888889,0.6898148148,74,1
Alaska,2017,430730,0.5886524823,0.6312056738,277,0
Alaska,2019,447778,0.5338345865,0.5413533835,330,0
Alaska,2021,462802,0.8256880734,0.8623853211,354,0
Alaska,2023,480803,0.6542056075,0.6635514019,308,1
Arizona,2017,613368,0.6269430052,0.6476683938,"4,164",0
Arizona,2019,646628,0.6542056075,0.7429906542,"3,579",0
Arizona,2021,678272,0.7272727273,0.7696969697,"1,720",0
Arizona,2023,711699,0.7311827957,0.8064516129,"2,423",1
Arkansas,2017,472682,0.5316455696,0.582278481,932,0
Arkansas,2019,495173,0.5691056911,0.6260162602,"1,421",0
Arkansas,2021,515142,0.6801619433,0.7327935223,"1,199",0
Arkansas,2023,538662,0.6819672131,0.7803278689,"1,843",1
California,2017,1087735,0.573255814,0.638372093,"2,183",0
California,2019,1197732,0.5487053021,0.617755857,"1,980",0
California,2021,1292077,0.6801619433,0.7516869096,"1,159",0
California,2023,1397328,0.722007722,0.7966537967,"2,284",1
Colorado,2017,470777,0.6036036036,0.6666666667,"1,119",0
Colorado,2019,500438,0.75,0.7714285714,"1,232",0
Colorado,2021,527656,0.735042735,0.7777777778,584,0
Colorado,2023,558393,0.7863247863,0.7863247863,"1,295",1
Connecticut,2017,406997,0.5277777778,0.5925925926,477,0
Connecticut,2019,430558,0.6161616162,0.696969697,685,0
Connecticut,2021,451220,0.6633663366,0.6831683168,752,0
Connecticut,2023,476557,0.71875,0.7916666667,952,1
Delaware,2017,414807,0.6164383562,0.6575342466,750,0
Delaware,2019,432505,0.5853658537,0.6504065041,714,0
Delaware,2021,448263,0.7037037037,0.7111111111,275,0
Delaware,2023,467298,0.7820512821,0.8461538462,575,1
District of Columbia,2017,372364,0.4892473118,0.5376344086,20,0
District of Columbia,2019,389500,0.6028368794,0.6737588652,30,0
District of Columbia,2021,404708,0.6223776224,0.7272727273,4,0
District of Columbia,2023,422050,0.7234042553,0.7730496454,35,1
