,state,year,Unnamed: 2,policy,grant
0,Alabama,2016,85,0,449771
1,Alabama,2017,103,0,448391
2,Alabama,2018,94,0,477105
3,Alabama,2019,40,0,475086
4,Alabama,2020,,0,492455
5,Alabama,2021,10,0,499097
6,Alabama,2022,54,0,513823
7,Alabama,2023,74,1,529162
8,Alabama,2024,498,1,525999
9,Alaska,2016,274,0,431469
10,Alaska,2017,277,0,430730
11,Alaska,2018,375,0,448950
12,Alaska,2019,330,0,447778
13,Alaska,2020,141,0,458722
14,Alaska,2021,354,0,462802
15,Alaska,2022,257,0,472034
16,Alaska,2023,308,1,480803
17,Alaska,2024,237,1,479643
18,Arizona,2016,"3,897",0,614250
19,Arizona,2017,"4,164",0,613368
20,Arizona,2018,"3,939",0,648282
21,Arizona,2019,"3,579",0,646628
22,Arizona,2020,"1,967",0,669110
23,Arizona,2021,"1,720",0,678272
24,Arizona,2022,"2,387",0,697843
25,Arizona,2023,"2,423",1,711699
26,Arizona,2024,"2,607",1,712460
27,Arkansas,2016,754,0,473712
28,Arkansas,2017,932,0,472682
29,Arkansas,2018,"1,224",0,496680
30,Arkansas,2019,"1,421",0,495173
31,Arkansas,2020,"1,117",0,509681
32,Arkansas,2021,"1,199",0,515142
33,Arkansas,2022,"1,542",0,527427
34,Arkansas,2023,"1,843",1,538662
35,Arkansas,2024,"2,086",1,537478
36,California,2016,"1,873",0,1091874
37,California,2017,"2,183",0,1087735
38,California,2018,"1,812",0,1204903
39,California,2019,"1,980",0,1197732
40,California,2020,"1,082",0,1267323
41,California,2021,"1,159",0,1292077
42,California,2022,"2,222",0,1347585
43,California,2023,"2,284",1,1397328
44,California,2024,"6,689",1,1395699
45,Colorado,2016,627,0,471379
46,Colorado,2017,"1,119",0,470777
47,Colorado,2018,"1,213",0,501972
48,Colorado,2019,"1,232",0,500438
49,Colorado,2020,775,0,519910
50,Colorado,2021,584,0,527656
51,Colorado,2022,"1,364",0,543914
52,Colorado,2023,"1,295",1,558393
53,Colorado,2024,"1,537",1,556914
54,Connecticut,2016,588,0,408305
55,Connecticut,2017,477,0,406997
56,Connecticut,2018,806,0,432259
57,Connecticut,2019,685,0,430558
58,Connecticut,2020,580,0,445611
59,Connecticut,2021,752,0,451220
60,Connecticut,2022,905,0,463872
61,Connecticut,2023,952,1,476557
62,Connecticut,2024,"1,365",1,474529
63,Delaware,2016,769,0,415498
64,Delaware,2017,750,0,414807
65,Delaware,2018,895,0,433587
66,Delaware,2019,714,0,432505
67,Delaware,2020,431,0,443884
68,Delaware,2021,275,0,448263
69,Delaware,2022,272,0,458000
70,Delaware,2023,575,1,467298
71,Delaware,2024,893,1,465906
72,District of Columbia,2016,26,0,372978
73,District of Columbia,2017,20,0,372364
74,District of Columbia,2018,15,0,390481
75,District of Columbia,2019,30,0,389500
76,District of Columbia,2020,1,0,400520
77,District of Columbia,2021,4,0,404708
78,District of Columbia,2022,6,0,414020
79,District of Columbia,2023,35,1,422050
80,District of Columbia,2024,65,1,421569
81,Florida,2016,"3,630",0,701384
82,Florida,2017,"3,083",0,700881
83,Florida,2018,"3,825",0,772871
84,Florida,2019,"5,398",0,771258
85,Florida,2020,"2,537",0,816871
86,Florida,2021,"2,905",0,834740
87,Florida,2022,"2,577",0,873756
88,Florida,2023,"3,530",1,906708
89,Florida,2024,"3,199",1,904025
90,Georgia,2016,"1,646",0,600656
91,Georgia,2017,"1,303",0,599386
92,Georgia,2018,"1,279",0,642828
93,Georgia,2019,"1,277",0,640747
94,Georgia,2020,417,0,667494
95,Georgia,2021,627,0,678358
96,Georgia,2022,625,0,701344
97,Georgia,2023,311,1,722675
98,Georgia,2024,443,1,719682
99,Hawaii,2016,116,0,449746
100,Hawaii,2017,116,0,448986
101,Hawaii,2018,50,0,468891
102,Hawaii,2019,38,0,467564
103,Hawaii,2020,22,0,479481
104,Hawaii,2021,24,0,483952
105,Hawaii,2022,36,0,493910
106,Hawaii,2023,28,1,503969
107,Hawaii,2024,6,1,502262
108,Idaho,2016,958,0,423587
109,Idaho,2017,929,0,422871
110,Idaho,2018,"1,264",0,443721
111,Idaho,2019,"1,252",0,442742
112,Idaho,2020,822,0,455683
113,Idaho,2021,540,0,460856
114,Idaho,2022,560,0,472014
115,Idaho,2023,614,1,483181
116,Idaho,2024,624,1,480883
117,Illinois,2016,"2,248",0,610511
118,Illinois,2017,"1,840",0,607444
119,Illinois,2018,"1,807",0,655761
120,Illinois,2019,"1,731",0,651673
121,Illinois,2020,"1,391",0,679978
122,Illinois,2021,"1,701",0,689740
123,Illinois,2022,"2,064",0,712621
124,Illinois,2023,"2,436",1,735955
125,Illinois,2024,"2,949",1,732748
126,Indiana,2016,"1,106",0,477809
127,Indiana,2017,"1,070",0,476249
128,Indiana,2018,999,0,509553
129,Indiana,2019,"1,097",0,507365
130,Indiana,2020,774,0,527588
131,Indiana,2021,874,0,535563
132,Indiana,2022,"1,119",0,552640
133,Indiana,2023,"1,200",1,568933
134,Indiana,2024,"1,295",1,566683
135,Iowa,2016,307,0,447790
136,Iowa,2017,306,0,446781
137,Iowa,2018,391,0,471159
138,Iowa,2019,321,0,469557
139,Iowa,2020,314,0,484290
140,Iowa,2021,313,0,489759
141,Iowa,2022,366,0,502152
142,Iowa,2023,837,1,514089
143,Iowa,2024,"1,018",1,512363
144,Kansas,2016,566,0,408621
145,Kansas,2017,606,0,407561
146,Kansas,2018,616,0,431216
147,Kansas,2019,609,0,429609
148,Kansas,2020,403,0,443831
149,Kansas,2021,542,0,449207
150,Kansas,2022,484,0,461177
151,Kansas,2023,467,1,472693
152,Kansas,2024,492,1,471111
153,Kentucky,2016,"2,105",0,471516
154,Kentucky,2017,"2,223",0,470231
155,Kentucky,2018,"1,805",0,497933
156,Kentucky,2019,"1,886",0,496086
157,Kentucky,2020,"1,111",0,512837
158,Kentucky,2021,"1,320",0,519028
159,Kentucky,2022,"1,401",0,533077
160,Kentucky,2023,"1,388",1,546523
161,Kentucky,2024,"1,327",1,544674
162,Louisiana,2016,136,0,499264
163,Louisiana,2017,151,0,498028
164,Louisiana,2018,198,0,526343
165,Louisiana,2019,229,0,524265
166,Louisiana,2020,219,0,540848
167,Louisiana,2021,77,0,546999
168,Louisiana,2022,68,0,561077
169,Louisiana,2023,34,1,573844
170,Louisiana,2024,12,1,572768
171,Maine,2016,"1,180",0,462506
172,Maine,2017,"1,082",0,461641
173,Maine,2018,212,0,481348
174,Maine,2019,557,0,480109
175,Maine,2020,284,0,492014
176,Maine,2021,138,0,496585
177,Maine,2022,180,0,506677
178,Maine,2023,566,1,516471
179,Maine,2024,"1,216",1,514971
180,Maryland,2016,157,0,498213
181,Maryland,2017,240,0,496829
182,Maryland,2018,240,0,528533
183,Maryland,2019,388,0,526519
184,Maryland,2020,120,0,545358
185,Maryland,2021,193,0,552460
186,Maryland,2022,324,0,568489
187,Maryland,2023,432,1,584947
188,Maryland,2024,338,1,581822
189,Massachusetts,2016,"1,169",0,518603
190,Massachusetts,2017,"1,220",0,517267
191,Massachusetts,2018,"1,377",0,551064
192,Massachusetts,2019,"1,325",0,549000
193,Massachusetts,2020,706,0,569743
194,Massachusetts,2021,808,0,577140
195,Massachusetts,2022,856,0,594090
196,Massachusetts,2023,"1,054",1,611189
197,Massachusetts,2024,957,1,608290
198,Michigan,2016,46,0,660694
199,Michigan,2017,48,0,658461
200,Michigan,2018,58,0,700077
201,Michigan,2019,38,0,697086
202,Michigan,2020,35,0,722379
203,Michigan,2021,38,0,731475
204,Michigan,2022,242,0,751968
205,Michigan,2023,326,1,772383
206,Michigan,2024,500,1,769395
207,Minnesota,2016,306,0,490874
208,Minnesota,2017,485,0,489604
209,Minnesota,2018,658,0,520237
210,Minnesota,2019,684,0,518591
