state,year,loans
Alabama,2016,
Alabama,2017,103
Alabama,2018,94
Alabama,2019,40
Alabama,2020,
Alabama,2021,10
Alabama,2022,54
Alabama,2023,74
Alabama,2024,498
Alaska,2016,274
Alaska,2017,277
Alaska,2018,375
Alaska,2019,330
Alaska,2020,141
Alaska,2021,354
Alaska,2022,257
Alaska,2023,308
Alaska,2024,237
Arizona,2016,"3,897"
Arizona,2017,"4,164"
Arizona,2018,"3,939"
Arizona,2019,"3,579"
Arizona,2020,"1,967"
Arizona,2021,"1,720"
Arizona,2022,"2,387"
Arizona,2023,"2,423"
Arizona,2024,"2,607"
Arkansas,2016,754
Arkansas,2017,932
Arkansas,2018,"1,224"
Arkansas,2019,"1,421"
Arkansas,2020,"1,117"
Arkansas,2021,"1,199"
Arkansas,2022,"1,542"
Arkansas,2023,"1,843"
Arkansas,2024,"2,086"
California,2016,"1,873"
California,2017,"2,183"
California,2018,"1,812"
California,2019,"1,980"
California,2020,"1,082"
California,2021,"1,159"
California,2022,"2,222"
California,2023,"2,284"
California,2024,"6,689"
Colorado,2016,627
Colorado,2017,"1,119"
Colorado,2018,"1,213"
Colorado,2019,"1,232"
Colorado,2020,775
Colorado,2021,584
Colorado,2022,"1,364"
Colorado,2023,"1,295"
Colorado,2024,"1,537"
Connecticut,2016,588
Connecticut,2017,477
Connecticut,2018,806
Connecticut,2019,685
Connecticut,2020,580
Connecticut,2021,752
Connecticut,2022,905
Connecticut,2023,952
Connecticut,2024,"1,365"
Delaware,2016,769
Delaware,2017,750
Delaware,2018,895
Delaware,2019,714
Delaware,2020,431
Delaware,2021,275
Delaware,2022,272
Delaware,2023,575
Delaware,2024,893
District of Columbia,2016,26
District of Columbia,2017,20
District of Columbia,2018,15
District of Columbia,2019,30
District of Columbia,2020,1
District of Columbia,2021,4
District of Columbia,2022,6
District of Columbia,2023,35
District of Columbia,2024,65
Florida,2016,"3,630"
Florida,2017,"3,083"
Florida,2018,"3,825"
Florida,2019,"5,398"
Florida,2020,"2,537"
Florida,2021,"2,905"
Florida,2022,"2,577"
Florida,2023,"3,530"
Florida,2024,"3,199"
Georgia,2016,"1,646"
Georgia,2017,"1,303"
Georgia,2018,"1,279"
Georgia,2019,"1,277"
Georgia,2020,417
Georgia,2021,627
Georgia,2022,625
Georgia,2023,311
Georgia,2024,443
Hawaii,2016,116
Hawaii,2017,116
Hawaii,2018,50
Hawaii,2019,38
Hawaii,2020,22
Hawaii,2021,24
Hawaii,2022,36
Hawaii,2023,28
Hawaii,2024,6
Idaho,2016,958
Idaho,2017,929
Idaho,2018,"1,264"
Idaho,2019,"1,252"
Idaho,2020,822
Idaho,2021,540
Idaho,2022,560
Idaho,2023,614
Idaho,2024,624
Illinois,2016,"2,248"
Illinois,2017,"1,840"
Illinois,2018,"1,807"
Illinois,2019,"1,731"
Illinois,2020,"1,391"
Illinois,2021,"1,701"
Illinois,2022,"2,064"
Illinois,2023,"2,436"
Illinois,2024,"2,949"
Indiana,2016,"1,106"
Indiana,2017,"1,070"
Indiana,2018,999
Indiana,2019,"1,097"
Indiana,2020,774
Indiana,2021,874
Indiana,2022,"1,119"
Indiana,2023,"1,200"
Indiana,2024,"1,295"
Iowa,2016,307
Iowa,2017,306
Iowa,2018,391
Iowa,2019,321
Iowa,2020,314
Iowa,2021,313
Iowa,2022,366
Iowa,2023,837
Iowa,2024,"1,018"
Kansas,2016,566
Kansas,2017,606
Kansas,2018,616
Kansas,2019,609
Kansas,2020,403
Kansas,2021,542
Kansas,2022,484
Kansas,2023,467
Kansas,2024,492
Kentucky,2016,"2,105"
Kentucky,2017,"2,223"
Kentucky,2018,"1,805"
Kentucky,2019,"1,886"
Kentucky,2020,"1,111"
Kentucky,2021,"1,320"
Kentucky,2022,"1,401"
Kentucky,2023,"1,388"
Kentucky,2024,"1,327"
Louisiana,2016,136
Louisiana,2017,151
Louisiana,2018,198
Louisiana,2019,229
Louisiana,2020,219
Louisiana,2021,77
Louisiana,2022,68
Louisiana,2023,34
Louisiana,2024,12
Maine,2016,"1,180"
Maine,2017,"1,082"
Maine,2018,212
Maine,2019,557
Maine,2020,284
Maine,2021,138
Maine,2022,180
Maine,2023,566
Maine,2024,"1,216"
Maryland,2016,157
Maryland,2017,240
Maryland,2018,240
Maryland,2019,388
Maryland,2020,120
Maryland,2021,193
Maryland,2022,324
Maryland,2023,432
Maryland,2024,338
Massachusetts,2016,"1,169"
